accession,ticker,issuer_name,insider_name,filing_datetime,cik,purchase_value,shares,latest_close,adv60_dollars,current_market_cap,transaction_rows,insider_vwap,signal_value_to_adv60,current_price_premium_to_insider_vwap,purchase_to_market_cap,passes_adv60_monitor,passes_adv60_alert,passes_price_premium,monitor_candidate,alert_candidate,episode_key,research_score,research_tier,score_reasons,score_caveats,high_52w,drawdown_from_52w_high
0000950142-26-001403,ALKT,"ALKAMI TECHNOLOGY, INC.","GAP COINVESTMENTS III, LLC; GAP COINVESTMENTS IV, LLC; GAP Coinvestments V, LLC; GENERAL ATLANTIC GENPAR, L.P.; GENERAL ATLANTIC, L.P.; General Atlantic (Lux) S.a r.l.; General Atlantic GenPar (Lux) SCSp; General Atlantic Partners (Bermuda) EU, L.P.; General Atlantic Partners (Lux), SCSp; General Atlantic Partners 100, L.P.",2026-05-15 00:19:46,1858361,32929750.0,1975000.0,16.6200008392334,32797281.116965484,,3,16.673291139240508,1.004039020263969,-0.0031961476328864,,True,True,True,True,True,7cab107aaee20cec370c40c8691de4e0037ed04237b61e765ec67b5766bf255a,10,ALERT,"[""purchase value >= $2m ($32,929,750)"", ""purchase value / ADV60 >= 5% (100.4%)"", ""current price below insider VWAP (-0.3%)"", ""stock down at least 30% from 52w high (-46.2%)"", ""multiple purchase rows in filing (3)""]","[""market cap unavailable""]",30.88999938964844,-0.4619617621357761
0000950142-26-001404,ALKT,"ALKAMI TECHNOLOGY, INC.","GA AL Holding, L.P.; GAP (Bermuda) L.P.; GAP Coinvestments CDA, L.P.; GENERAL ATLANTIC GENPAR (BERMUDA), L.P.; General Atlantic (AL) SPV, L.P.; General Atlantic (AL), L.P.; General Atlantic (SPV) GP (Bermuda), LLC; General Atlantic (SPV) GP, LLC; General Atlantic Partners (Bermuda) IV, L.P.",2026-05-15 00:21:50,2085145,32929750.0,1975000.0,16.6200008392334,32797281.116965484,,3,16.673291139240508,1.004039020263969,-0.0031961476328864,,True,True,True,True,True,7dd4a3d21a58a81f483c00f7e93f23a6416dca8c608263537ebc10a32a8bd424,10,ALERT,"[""purchase value >= $2m ($32,929,750)"", ""purchase value / ADV60 >= 5% (100.4%)"", ""current price below insider VWAP (-0.3%)"", ""stock down at least 30% from 52w high (-46.2%)"", ""multiple purchase rows in filing (3)""]","[""market cap unavailable""]",30.88999938964844,-0.4619617621357761
0001193125-26-222296,BLND,"Blend Labs, Inc.","Haveli Brooks Aggregator, L.P.; Haveli Investment Management LLC; Haveli Investments Software Fund I GP, LLC; Haveli Investments, L.P.; Haveli Software Management LLC; SHETH BRIAN NIRANJAN; Whanau Interests LLC",2026-05-14 00:19:20,2022286,2789589.9851,1951635.0,1.4600000381469729,6078216.256507691,,3,1.4293605029116614,0.4589487881602276,0.0214358345378211,,True,True,True,True,True,ac8c51124bb4bd19221400b5caab71d44d847604c7f8d353fe6ac8c2c3aed147,10,ALERT,"[""purchase value >= $2m ($2,789,590)"", ""purchase value / ADV60 >= 5% (45.9%)"", ""current price within 15% of insider VWAP (2.1%)"", ""stock down at least 30% from 52w high (-66.6%)"", ""multiple purchase rows in filing (3)""]","[""market cap unavailable""]",4.369999885559082,-0.6659038726816384
0001816739-26-000002,BKKT,"Bakkt, Inc.",ALFRED MICHAEL,2026-05-18 22:37:39,1820302,4848100.0,585000.0,8.720000267028809,12264431.430393776,,2,8.287350427350427,0.3952975747400253,0.0522060510739987,,True,True,True,True,True,8c8f23645f0cf1aa4b884693ceac3fa979a8f5b9aa4da1d548ef07783f6948cf,10,ALERT,"[""purchase value >= $2m ($4,848,100)"", ""purchase value / ADV60 >= 5% (39.5%)"", ""current price within 15% of insider VWAP (5.2%)"", ""stock down at least 30% from 52w high (-80.6%)"", ""multiple purchase rows in filing (2)""]","[""market cap unavailable""]",45.040000915527344,-0.8063943141701264
0000921895-26-001333,BH,Biglari Holdings Inc.,"BIGLARI CAPITAL CORP.; BIGLARI, SARDAR; LION FUND, L.P.",2026-05-14 23:58:26,1726173,13439603.54,52674.0,258.1700134277344,36616843.94304911,,3,255.14681892394728,0.3670333675098508,0.0118488426253444,,True,True,True,True,True,0b56da7845143c0e2b22826a925ba7e1a7de1fa6f253d30135b6e8a4d59261d6,10,ALERT,"[""purchase value >= $2m ($13,439,604)"", ""purchase value / ADV60 >= 5% (36.7%)"", ""current price within 15% of insider VWAP (1.2%)"", ""stock down at least 30% from 52w high (-45.9%)"", ""multiple purchase rows in filing (3)""]","[""market cap unavailable""]",476.9200134277344,-0.4586723011009607
0000919574-26-003627,WGS,GeneDx Holdings Corp.,"Casdin Capital, LLC; Casdin Eli; Casdin Partners GP, LLC; Casdin Partners Master Fund, L.P.",2026-05-20 23:45:45,1818331,21459735.5,500000.0,44.72999954223633,63660426.03565763,,3,42.919471,0.3370969507489617,0.0421843163499457,,True,True,True,True,True,e7344e3490e74334fba5f42cb1383fb972d14db98c10b2c962360dc4ab8b6776,10,ALERT,"[""purchase value >= $2m ($21,459,736)"", ""purchase value / ADV60 >= 5% (33.7%)"", ""current price within 15% of insider VWAP (4.2%)"", ""stock down at least 30% from 52w high (-73.3%)"", ""multiple purchase rows in filing (3)""]","[""market cap unavailable""]",167.51499938964844,-0.7329791379565237
0001011438-26-000351,WGS,GeneDx Holdings Corp.,Corvex Management LP; Meister Keith A.,2026-05-15 23:07:09,1818331,13013951.74,332408.0,40.75,65588324.20707703,,5,39.15053711102019,0.1984187261579064,0.0408541748595727,,True,True,True,True,True,d4c61348dfbf9a2947688d2ee4308d9d6d3d47342d641ce16abacfb941a64a54,10,ALERT,"[""purchase value >= $2m ($13,013,952)"", ""purchase value / ADV60 >= 5% (19.8%)"", ""current price within 15% of insider VWAP (4.1%)"", ""stock down at least 30% from 52w high (-75.7%)"", ""multiple purchase rows in filing (5)""]","[""market cap unavailable""]",167.51499938964844,-0.7567382016626856
0001000753-26-000053,NSP,"INSPERITY, INC.",SARVADI PAUL J,2026-05-06 21:37:27,1032399,2861235.58,99600.0,28.75,30675609.020406723,,2,28.72726485943776,0.0932739616708696,0.0007914133375903,,True,True,True,True,True,b9089983310c87d018f57c1199b4d9adba26dff5133d1533469f37a1af34e967,10,ALERT,"[""purchase value >= $2m ($2,861,236)"", ""purchase value / ADV60 >= 5% (9.3%)"", ""current price within 15% of insider VWAP (0.1%)"", ""stock down at least 30% from 52w high (-57.2%)"", ""multiple purchase rows in filing (2)""]","[""market cap unavailable""]",67.2175521850586,-0.5722843354835723
0001182684-26-000003,TXO,"TXO Partners, L.P.",SIMPSON BOB R,2026-05-11 21:38:43,1559432,9456495.712,750000.0,12.5,2683813.470478058,,3,12.608660949333332,3.5235294166384628,-0.0086179610800841,,True,True,True,True,True,2273a1301bc676b4d2d700530c63fc080328f385f48161b468c1544caed82eef,9,ALERT,"[""purchase value >= $2m ($9,456,496)"", ""purchase value / ADV60 >= 5% (352.4%)"", ""current price below insider VWAP (-0.9%)"", ""stock down at least 15% from 52w high (-20.2%)"", ""multiple purchase rows in filing (3)""]","[""market cap unavailable""]",15.66472339630127,-0.2020286803818393
0001193125-26-235156,BLND,"Blend Labs, Inc.","Haveli Brooks Aggregator, L.P.; Haveli Investment Management LLC; Haveli Investments Software Fund I GP, LLC; Haveli Investments, L.P.; Haveli Software Management LLC; SHETH BRIAN NIRANJAN; Whanau Interests LLC",2026-05-22 00:15:19,2022286,1145964.2752,769061.0,1.5199999809265137,6716812.748209818,,2,1.4900824189498625,0.1706113179209031,0.0200777900579056,,True,True,True,True,True,4f573782a8c96ffed002683094942304ae132be828292a8a07f167e2c59012fe,9,ALERT,"[""purchase value >= $1m ($1,145,964)"", ""purchase value / ADV60 >= 5% (17.1%)"", ""current price within 15% of insider VWAP (2.0%)"", ""stock down at least 30% from 52w high (-65.2%)"", ""multiple purchase rows in filing (2)""]","[""market cap unavailable""]",4.369999885559082,-0.6521739082993019
